Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],Latest Year Available [YR20080],"Latest Year Available, period 1990-1995 [YR19950]","Latest Year Available, period 1996-2000 [YR20006]","Latest Year Available, period 2001-2008 [YR20081]"
002. Burkina Faso_Sonabel,BFA_Sonabel,Labor costs (USD/year),AFELE160,..,..,..,..,..,..,8568851.12359551,8656304.22919509,9758934.00286944,13000638.5542169,14763785.9848485,16451491.4611006,..,..,..,..,16451491.4611006,..,..,16451491.4611006
002. Burkina Faso_Sonabel,BFA_Sonabel,Operational costs (LCU/year),AFELE178,..,..,..,..,..,..,31432160000,28997860000,32693252000,35957328000,41141825000,47893620000,..,..,..,..,47893620000,..,..,47893620000
002. Burkina Faso_Sonabel,BFA_Sonabel,Operational costs (USD/year),AFELE179,..,..,..,..,..,..,44146292.1348315,39560518.4174625,46905670.0143472,61888688.4681583,77920123.1060606,90879734.345351,..,..,..,..,90879734.345351,..,..,90879734.345351
002. Burkina Faso_Sonabel,BFA_Sonabel,Prepayment meters (% of all meters),AFELE187,..,..,..,..,..,..,9.67366215991365,9.67366215991365,9.67366215991365,9.67366215991365,9.67366215991365,10.0235397164285,..,..,..,..,10.0235397164285,..,..,10.0235397164285
002. Burkina Faso_Sonabel,BFA_Sonabel,Residential/low voltage customers with operating meters (% of residential customers),AFELE189,..,..,..,..,..,..,100,100,100,100,100,100,..,..,..,..,100,..,..,100
002. Burkina Faso_Sonabel,BFA_Sonabel,Revenue (LCU/year),AFELE193,..,..,..,..,..,..,..,..,..,..,..,55870000000,..,..,..,..,55870000000,..,..,55870000000
002. Burkina Faso_Sonabel,BFA_Sonabel,Revenue (USD/year),AFELE194,..,..,..,..,..,..,..,..,..,..,..,106015180.265655,..,..,..,..,106015180.265655,..,..,106015180.265655
002. Burkina Faso_Sonabel,BFA_Sonabel,Revenue from commercial/medium voltage customers (LCU/year),AFELE195,..,..,..,..,..,..,11672020000,12828640000,13962320000,15034210000,17387410000,20671900000,..,..,..,..,20671900000,..,..,20671900000
002. Burkina Faso_Sonabel,BFA_Sonabel,Revenue from commercial/medium voltage customers (USD/year),AFELE196,..,..,..,..,..,..,16393286.5168539,17501555.2523874,20032022.9555237,25876437.1772805,32930700.7575758,39225616.6982922,..,..,..,..,39225616.6982922,..,..,39225616.6982922
002. Burkina Faso_Sonabel,BFA_Sonabel,Revenue from customers of all voltage levels (USD/year),AFELE199,..,..,..,..,..,..,44306179.7752809,47301500.6821282,54140602.5824964,69936316.6953528,89001893.9393939,106015180.265655,..,..,..,..,106015180.265655,..,..,106015180.265655
002. Burkina Faso_Sonabel,BFA_Sonabel,Revenue from high voltage+medium voltage customers (% of total revenue),AFELE198,..,..,..,..,..,..,37,37,37,37,37,37,..,..,..,..,37,..,..,37
002. Burkina Faso_Sonabel,BFA_Sonabel,Revenue from high voltage+medium voltage customers (USD/year),AFELE197,..,..,..,..,..,..,16393286.5168539,17501555.2523874,20032022.9555237,25876437.1772805,32930700.7575758,39225616.6982922,..,..,..,..,39225616.6982922,..,..,39225616.6982922
002. Burkina Faso_Sonabel,BFA_Sonabel,Revenue from industrial/high voltage customers (LCU/year),AFELE200,..,..,..,..,..,..,0,0,0,0,0,0,..,..,..,..,0,..,..,0
002. Burkina Faso_Sonabel,BFA_Sonabel,Revenue from industrial/high voltage customers (USD/year),AFELE201,..,..,..,..,..,..,0,0,0,0,0,0,..,..,..,..,0,..,..,0
002. Burkina Faso_Sonabel,BFA_Sonabel,Revenue from residential/low voltage customers (LCU/year),AFELE202,..,..,..,..,..,..,19873980000,21843360000,23773680000,25598790000,29605590000,35198100000,..,..,..,..,35198100000,..,..,35198100000
002. Burkina Faso_Sonabel,BFA_Sonabel,Revenue from residential/low voltage customers (USD/year),AFELE203,..,..,..,..,..,..,27912893.258427,29799945.4297408,34108579.6269727,44059879.5180723,56071193.1818182,66789563.5673624,..,..,..,..,66789563.5673624,..,..,66789563.5673624
002. Burkina Faso_Sonabel,BFA_Sonabel,"Revenue per high voltage customer, annual, electricity (USD/customer/year)",AFELE190,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
002. Burkina Faso_Sonabel,BFA_Sonabel,"Revenue per low voltage customer, annual, electricity (USD/customer/year)",AFELE191,..,..,..,..,..,..,153.960547264061,155.974925831907,167.584199099757,194.933655649031,239.222801333758,261.879804921453,..,..,..,..,261.879804921453,..,..,261.879804921453
002. Burkina Faso_Sonabel,BFA_Sonabel,"Revenue per medium voltage customer, annual, electricity (USD/customer/year)",AFELE192,..,..,..,..,..,..,19260759.0759076,20658035.4267311,21850266.0406886,22573888.8888889,23560176.1517615,27673226.2382865,..,..,..,..,27673226.2382865,..,..,27673226.2382865
002. Burkina Faso_Sonabel,BFA_Sonabel,"Revenue per unit, electricity (US cents/kWh)",AFELE120,..,..,..,..,..,..,..,..,..,..,..,19.7075363085639,..,..,..,..,19.7075363085639,..,..,19.7075363085639
002. Burkina Faso_Sonabel,BFA_Sonabel,System losses (% of generation),AFELE209,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
002. Burkina Faso_Sonabel,BFA_Sonabel,"Unit operational expenses, annual (LCU/kWh)",AFELE116,..,..,..,..,..,..,94.9778511038188,81.251534086133,81.375079649542,84.1315694651773,87.0376462374918,89.1105434234543,..,..,..,..,89.1105434234543,..,..,89.1105434234543
